a,character,columns
181629,204201,182634
181630,204358,182634
181631,204515,182634
181632,204672,182634
181633,204829,182634
181634,206140,182629
181635,206170,182629
181636,206200,182629
181637,206230,182629
181638,206260,182629
181639,206290,182629
181640,206320,182629
181641,206350,182629
181642,208430,182665
181643,208473,182665
181644,208516,182665
181645,208559,182665
181646,208602,182665
181647,208645,182665
181648,208688,182665
181649,208731,182665
181650,208774,182665
181651,208817,182665
181652,208860,182665
181653,208903,182665
181654,208946,182665
181655,208989,182665
181656,209032,182665
181657,209075,182665
181658,209118,182665
181659,209161,182665
181660,209204,182665
181661,209247,182665
181662,209382,182665
181663,209539,182665
181664,209696,182665
181665,209853,182665
181666,210010,182665
181667,210167,182665
181668,210324,182665
181669,210481,182665
181670,210638,182665
181671,210795,182665
181672,210952,182665
181673,211109,182647
181674,211266,182647
181675,211423,182647
181676,211580,182647
181677,211737,182647
181678,211894,182647
181679,212051,182647
181680,212208,182647
181681,212365,182647
181682,212720,182647
181683,212776,182647
181684,212836,182647
181685,212993,182647
181686,213150,182647
181687,213307,182647
181688,213464,182647
181689,213621,182647
181690,213778,182647
181691,213935,182647
181692,214092,182647
181693,214249,182647
181694,214406,182647
181695,214563,182647
181696,214720,182647
181697,153916,182651
181698,153976,182651
181699,154036,182651
181700,154096,182651
181701,154156,182651
181702,154216,182651
181703,154276,182651
181704,154336,182651
181705,154396,182651
181706,154456,182651
181707,154516,182651
181708,217084,182683
181709,217153,182683
181710,217222,182683
181711,217291,182683
181712,217360,182683
181713,217429,182683
181714,217546,182683
181715,217703,182683
181716,173128,182659
181717,173266,182659
181718,158214,182651
181719,158287,182651
181720,158360,182651
181721,158433,182651
181722,158506,182651
181723,158579,182651
181724,219116,182647
181725,219273,182647
181726,219430,182647
181727,219584,182644
181728,221632,182634
181729,221714,182634
181730,221796,182634
181731,221878,182634
181732,221960,182634
181733,222042,182634
181734,222124,182634
181735,222206,182634
181736,222288,182634
181737,222370,182634
181738,222452,182634
181739,222534,182634
181740,222616,182634
181741,222698,182634
181742,223612,182636
181743,223625,182642
181744,223632,182642
181745,223639,182642
181746,223646,182642
181747,223653,182642
181748,223660,182642
181749,223667,182642
181750,223674,182642
181751,223681,182642
181752,223688,182642
181753,223695,182642
181754,223826,182642
181755,223983,182642
181756,224140,182642
181757,224297,182642
181758,224454,182642
181759,224611,182642
181760,224768,182642
181761,224925,182642
181762,225082,182642
181763,225239,182642
181764,225396,182642
181765,225553,182642
181766,225710,182642
181767,232180,182653
181768,232288,182653
181769,232396,182653
181770,232504,182653
181771,232612,182653
181772,232720,182653
181773,232828,182653
181774,232936,182653
181775,233044,182653
181776,233152,182653
181777,233260,182653
181778,233368,182653
181779,233476,182653
181780,233584,182653
181781,233692,182653
181782,233800,182653
181783,233908,182653
181784,176304,182659
181785,176354,182659
181786,176404,182659
181787,176454,182659
181788,176504,182659
181789,176554,182659
181790,176604,182659
181791,235922,182689
181792,235968,182689
181793,236014,182689
181794,236060,182689
181795,236106,182689
181796,236152,182689
181797,236198,182689
181798,236244,182689
181799,236290,182689
181800,236336,182689
181801,236382,182689
181802,236428,182689
181803,236474,182689
181804,236520,182689
181805,236566,182689
181806,236612,182689
181807,236658,182689
181808,236704,182689
181809,236750,182689
181810,236824,182689
181811,236932,182689
181812,237040,182689
181813,237148,182689
181814,237256,182689
181815,237364,182689
181816,237472,182689
181817,237580,182689
181818,237688,182689
181819,237796,182689
181820,237904,182689
181821,238012,182689
181822,238120,182689
181823,238228,182689
181824,238336,182689
181825,238444,182689
181826,238552,182689
181827,238660,182689
181828,238768,182686
181829,238876,182686
181830,238984,182686
181831,239092,182686
181832,239200,182686
181833,239308,182686
181834,239416,182686
181835,239524,182686
181836,239629,182683
181837,238038,182653
181838,238084,182653
181839,238130,182653
181840,238176,182653
181841,238222,182653
181842,238268,182653
181843,238314,182653
181844,238360,182653
181845,238406,182653
